"","item","label","duration","intensity","cog","sdev","skew","kurt"
"114","SN19","B3_SN19_1_s.wav",0.153875,44.33254403,8441.687626,2598.519838,-0.2694143262,0.486850315
"115","SN19","B6_SN19_3_s.wav",0.1271666667,47.97409556,6593.886633,1848.179264,0.8052842265,-0.4917491244
"116","SN19","B2_SN19_1_s.wav",0.0990625,51.14656823,5959.167582,897.4802358,2.010194691,13.46511095
"117","SN19","B6_SN19_2_s_alt.wav",0.13075,51.37199172,5839.223307,1580.593475,1.835610089,2.535361701
"118","SN19","B2_SN19_3_s.wav",0.1073333333,51.37392023,5747.97496,593.10596,3.531310083,31.68668596
"119","SN19","B6_SN19_1_s.wav",0.139125,49.11489504,5703.189359,830.3737875,2.390047213,15.37294034
"120","SN19","B2_SN19_2_s.wav",0.088875,55.65723404,5670.96955,737.128216,3.439835107,20.54291468
"121","SN19","B4_SN19_1_s.wav",0.1417916667,50.18967059,5412.188105,1748.325759,1.62056678,3.240062149
"122","SN19","B6_SN19_2_s.wav",0.1275416667,51.37937446,5305.380022,1101.518542,2.895634659,11.38657185
"123","SN19","B4_SN19_3_s.wav",0.1279166667,48.58006994,4718.240534,1283.213478,1.598830929,6.424986914
"124","SN19","B4_SN19_2_s.wav",0.1341458333,54.75075079,4498.775417,1445.442263,1.955779024,6.843061152
"125","SN2","B3_SN2_1_s.wav",0.1488541667,48.86229323,8725.638545,2271.828535,-0.7466370056,1.148562647
"126","SN2","B3_SN2_3_s.wav",0.11975,46.06393741,8561.609762,2457.959074,-0.6954802038,1.2081445
"127","SN2","B3_SN2_2_s.wav",0.1527708333,46.61282475,7569.666136,3209.478588,-0.6595978963,-0.2983690516
"128","SN2","B2_SN2_1_s.wav",0.076875,46.49721151,6970.763841,1906.204781,0.5033479795,0.9396106112
"129","SN2","B2_SN2_3_s.wav",0.08597916667,48.42396836,6899.375762,1730.921368,0.3803573354,1.186743568
"130","SN2","B6_SN2_2_s_alt.wav",0.07795833333,50.57438626,6326.236411,1775.257905,1.156364355,1.6091235
"131","SN2","B6_SN2_1_s.wav",0.108625,48.83786577,6310.335847,1820.912824,0.6278565946,0.5268150431
"132","SN2","B6_SN2_3_s.wav",0.1059166667,44.79126114,5693.933279,1695.53349,0.6977371157,2.279144593
"133","SN2","B6_SN2_2_s.wav",0.1017291667,48.21055687,5614.946735,1722.871553,1.444909275,2.247021659
"134","SN2","B2_SN2_2_s.wav",0.077375,50.495456,5292.099301,1336.901863,2.250524274,6.113658751
"135","SN2","B4_SN2_3_s.wav",0.1156458333,52.36275683,4421.08047,1518.893983,1.835750917,5.155967857
"136","SN2","B4_SN2_2_s.wav",0.1028541667,48.76559269,3881.04501,1469.294539,2.229947868,6.284774864
"137","SN2","B4_SN2_1_s.wav",0.106875,52.04282556,3825.181457,1237.885553,2.436916488,9.132234022
"138","SN2","B4_SN2_2_s_alt.wav",0.1130833333,44.76969157,3820.263603,1634.470447,1.557705019,4.923248119
"139","SN20","B3_SN20_3_s.wav",0.14475,49.78971461,9230.755621,2381.304567,-0.3846808155,1.298481029
"140","SN20","B3_SN20_2_s.wav",0.1580833333,47.34186684,8972.245576,2406.861775,-0.1955916367,1.267245993
"141","SN20","B3_SN20_1_s.wav",0.1634583333,48.94562792,8406.284217,2116.419647,-0.5637074404,2.759100907
"142","SN20","B2_SN20_2_s.wav",0.1177291667,52.41420741,7162.948538,1902.559963,0.7340975575,0.5480586986
"143","SN20","B2_SN20_1_s.wav",0.09297916667,50.72793822,6761.333387,1713.689175,0.2093475729,2.975733993
"144","SN20","B2_SN20_3_s.wav",0.1071875,50.3232821,6575.55169,1222.613982,0.7778814557,3.392717164
"145","SN20","B6_SN20_2_s.wav",0.1149791667,51.88202625,6296.86804,1536.079826,1.470775576,3.580326523
"146","SN20","B6_SN20_3_s.wav",0.1351458333,48.32833671,6226.219408,1397.102589,1.583121903,3.931161715
"147","SN20","B6_SN20_1_s.wav",0.120625,48.64339103,6153.583739,1631.808275,1.40883966,1.985043324
"148","SN20","B4_SN20_2_s.wav",0.1405416667,57.30089676,5109.969969,1388.94499,1.784066694,5.538828202
"149","SN20","B4_SN20_1_s.wav",0.1313541667,56.5742563,5059.001072,1627.038052,1.533347551,2.969074973
"150","SN20","B4_SN20_3_s.wav",0.1320625,55.62293401,4835.598512,1128.918587,2.413168316,10.1416649
"151","SN21","B3_SN21_2_s.wav",0.1763541667,49.69438532,8547.22105,1959.138455,-0.205483889,2.460695692
"152","SN21","B3_SN21_1_s_alt.wav",0.1527083333,48.43254921,8445.550536,1743.175385,-0.1800186976,3.072564099
"153","SN21","B3_SN21_1_s.wav",0.1928541667,46.00185051,7780.715662,1919.808287,0.6992993717,1.94274819
"154","SN21","B3_SN21_3_s.wav",0.167,51.52504198,7589.581687,2124.277701,0.8417603811,2.46407149
"155","SN21","B6_SN21_2_s_alt.wav",0.1416875,47.00437797,6792.337018,2016.138272,1.359446907,1.354259
"156","SN21","B2_SN21_1_s.wav",0.1037291667,54.93477345,6603.988349,962.6715494,1.589927085,11.97506204
"157","SN21","B2_SN21_2_s.wav",0.1282916667,49.0083343,6349.546778,1075.031968,1.028746703,8.516645985
"158","SN21","B6_SN21_3_s.wav",0.1320625,47.85097775,6103.845429,1316.571745,1.124371036,2.829831442
"159","SN21","B2_SN21_3_s.wav",0.1323125,50.66146755,6094.458937,1245.995892,1.558978853,5.43262657
"160","SN21","B6_SN21_1_s.wav",0.1450625,52.48966758,5994.045774,987.7781452,2.236685682,9.199079339
"161","SN21","B6_SN21_2_s.wav",0.1425,49.40829473,5862.016576,1174.950135,1.616001745,4.753127245
"162","SN21","B4_SN21_3_s.wav",0.1513333333,53.96154563,5666.887886,1380.910375,1.173625465,3.024275697
